year,rc13,flow_total,flow_sample
2001,1,54966,42819
2001,2,534543,429375
2001,3,162276,127185
2001,4,100746,78783
2001,5,17907,13473
2001,6,63954,49512
2001,7,46032,37917
2001,8,97698,79404
2001,9,208872,172467
2001,12,13947,11271
2001,13,234222,190161
2001,14,86823,69921
2001,15,45261,36645
2001,16,20550,15690
2001,17,19575,15213
2001,18,19524,15321
2001,99,381,237
2006,1,64395,48387
2006,2,628851,506058
2006,3,184671,143223
2006,4,118470,92085
2006,5,19296,14370
2006,6,73173,55740
2006,7,51288,38994
2006,8,109221,83430
2006,9,233616,187239
2006,12,16236,12363
2006,13,269694,218910
2006,14,100206,77577
2006,15,48213,36729
2006,16,23313,18051
2006,17,22023,17481
2006,18,22740,17457
2006,99,369,225
2013,1,61350,50958
2013,2,650610,554556
2013,3,186615,157275
2013,4,116283,97233
2013,5,18153,15174
2013,6,68610,57234
2013,7,52620,45315
2013,8,100521,87018
2013,9,235605,206742
2013,12,16125,13623
2013,13,277659,236388
2013,14,100347,82827
2013,15,48084,39930
2013,16,23508,19398
2013,17,22626,18894
2013,18,21942,18144
2013,99,348,267
